Title,Subject,Subject Name,Geographic Coverage,Photographer,Year,Caption,longitude,latitude,imageurl
"Earvin ""Magic"" Johson speaking with Bo Hopkins and an unidentified women at a City of Hope party at Pickfair honoring Jerry Buss, Beverly Hills, 1981",Actors $x American $z California $z Beverly Hills,"Johnson, Earvin, 1959-",Beverly Hills (Calif.),,1981,,-118.419655,34.090167,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b1261_f294864-3_Frame30.jpg
"Earvin ""Magic"" Johson speaking with Bo Hopkins and an unidentified women at a City of Hope party at Pickfair honoring Jerry Buss, Beverly Hills, 1981",Actors $x American $z California $z Beverly Hills,"Johnson, Earvin, 1959-",Beverly Hills (Calif.),,1981,,-118.419655,34.090167,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b1261_f294864-3_Frame31.jpg
"John Mercedes and Charlene Tilton at a City of Hope party at Pickfair honoring Jerry Buss, Beverly Hills, 1981",Actresses $x American $z California $z Beverly Hills,"Mercedes, John",Beverly Hills (Calif.),,1981,,-118.419655,34.090167,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b1261_f294864-3_Frame33.jpg
Lew Alcindor plays offense in UCLA basketball varsity-frosh game,African American basketball players,"University of California, Los Angeles--Basketball",Los Angeles (Calif.),,1966,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012663a.jpg
Lew Alcindor plays offense for UCLA basketball against Duke University,African American basketball players,"University of California, Los Angeles--Basketball",Los Angeles (Calif.),,1966,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012664a.jpg
"Lew Alcindor, after UCLA basketball defeats USC to end perfect season",African American basketball players,"University of California, Los Angeles--Basketball",Los Angeles (Calif.),,1967,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012667a.jpg
Lew Acindor dribbles as a UCLA freshman,African American basketball players,"University of California, Los Angeles",Los Angeles (Calif.),,1965,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012902a.jpg
Lew Alcindor plays defense for UCLA basketball in game against USC,African American basketball players,University of Southern California--Basketball,Los Angeles (Calif.),,1967,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012666a.jpg
Lew Alcindor plays offense for UCLA basketball in game against USC,African American basketball players,University of Southern California--Basketball,Los Angeles (Calif.),,1967,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012665a.jpg
Lew Alcindor plays offense for UCLA basketball in game against USC,African American basketball players,University of Southern California,Los Angeles (Calif.),,1966,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012903a.jpg
Lew Alcindor and Coach John Wooden huddle with UCLA freshman All-Americans,African American basketball players,"University of California, Los Angeles",Los Angeles (Calif.),,1965,,-118.446794,34.0703752,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012901a.jpg
Muhammad Ali holds up a birthday cake,African American boxers,"Ali, Muhammad, 1942-",Los Angeles (Calif.),,1971,,-118.3418405,33.95821364,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012932a.jpg
Muhammad Ali eats a birthday cake,African American boxers,"Ali, Muhammad, 1942-",Los Angeles (Calif.),,1971,,-118.3418405,33.95821364,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012931a.jpg
