photographer,Title,URL,imageurl,year,lat,lon,latlon
,"Wilshire Boulevard Congregational Church with fundraising banners, Los Angeles, 1928",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_5881.jpg,1928,34.06173914,-118.3231026,"34.06173914,-118.3231026"
,"Joseph Willis and Ethel McVey, shown as they were married at midnight of Friday the 13th on the Colorado-street Bridge, Pasadena, 1935",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_13023.jpg,1935,34.144722,-118.163611,"34.144722,-118.163611"
"Romerein, Lisa","Demolition of Ontra Caf̩ in Hollywood, Calif., 1990",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4106_311030-2.jpg,1990,34.10265469,-118.3268684,"34.10265469,-118.3268684"
"Romerein, Lisa","Farmer's Market clock tower and sign reading ""Meet me at Third and Fairfax"" in Los Angeles, Calif., 1990",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4106_311030-1C-1.jpg,1990,34.07182213,-118.3604363,"34.07182213,-118.3604363"
"Romerein, Lisa","Los Angeles Farmer's Market, Calif., 1990",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4106_311030-1B-1.jpg,1990,34.07233536,-118.3610478,"34.07233536,-118.3610478"
"Kaul, Rosemary",David Laventhol soon after his appointment as publisher of the Los Angeles Times. A. 1989.,,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/b4067_309034-s1-8.jpg,1989,34.05307721,-118.2451952,"34.05307721,-118.2451952"
"Kaul, Rosemary",David Laventhol soon after his appointment as publisher of the Los Angeles Times. B. 1989.,,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/b4067_309034-s1-17.jpg,1989,34.05307721,-118.2451952,"34.05307721,-118.2451952"
"Kaul, Rosemary",David Laventhol soon after his appointment as publisher of the Los Angeles Times. C. 1989.,,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/b4067_309034-s1-24.jpg,1989,34.05307721,-118.2451952,"34.05307721,-118.2451952"
"Durell, Robert","Cityscape with construction of Library Tower [US Bank Tower], Los Angeles, Calif., 1989",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4046_308134.jpg,1989,34.045939,-118.2544327,"34.045939,-118.2544327"
"Atkins, Lacy","John W. Mack, Earvin ""Magic"" Johnson, and Sidney Poitier, Century Plaza, Century City, 1989",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b4045_F308105_Frame12.jpg,1989,34.05746832,-118.4158266,"34.05746832,-118.4158266"
